Mot;Occurrence;Mot_nettoye;Cluster
numéros;16;numéro;0
série;93;série;0
celle;192;;0
ci;141;;0
dirait;236;dire;0
ont;1446;;0
brûlés;9;brûlé;0
hé;220;;0
où;1134;;0
mr;144;mr;0
amèneraient;2;amener;0
reste;253;;0
sa;1428;;0
spéciale;28;spécial;0
appartient;30;appartenir;0
horrible;49;horrible;0
substance;18;substance;0
visqueuse;6;visqueux;0
jaune;18;jaune;0
litres;8;litre;0
jusqu;237;;0
voudrez;7;vouloir;0
voir;826;voir;0
devinez;18;devinez;0
portefeuille;21;portefeuille;0
croyez;180;croyez;0
cuir;26;cuir;0
argent;318;argent;0
cartes;36;carte;0
lambeau;2;lambeau;0
identification;40;identification;0
complètement;97;complètement;0
émulsionné;2;émulsionner;0
mm;42;millimètre;0
aimerais;162;aimerai;0
revenir;53;revenir;0
ancien;45;ancien;0
arrangement;14;arrangemer;0
parlez;135;parler;0
directement;24;;0
mes;522;;0
arrivés;10;arriver;0
grâce;73;grâce;0
trouvé;917;trouver;0
donc;1104;;0
but;249;but;0
moment;287;moment;0
ectomorphe;4;ectomorphe;0
mince;32;mince;0
linéaire;6;linéaire;0
traits;18;trait;0
fins;12;fin;0
entends;38;entend;0
es;447;;0
nouveau;181;;0
ton;383;;0
pardon;149;pardon;0
revivant;2;revivre;0
moments;25;moment;0
continuer;52;continuer;0
tamiser;3;tamiser;0
te;685;;0
relax;16;rela;0
vrai;528;vrai;0
nos;246;;0
faiblesse;8;faiblesse;0
uh;77;uh;0
seeley;138;seeley;0
partagés;3;partager;0
sache;55;sach;0
quiconque;28;;0
cancanais;2;cancanai;0
appelleriez;3;appeler;0
partage;20;partage;0
point;237;point;0
intérêt;41;intérêt;0
génial;111;génial;0
hein;205;hein;0
ficelle;10;ficell;0
sert;29;servir;0
balle;172;balle;0
jouer;90;jouer;0
chat;28;chat;0
comportement;34;comportement;0
exemple;45;exemple;0
manuel;7;manuel;0
disant;52;dire;0
grands;16;grand;0
primates;6;primate;0
pouvont;2;pouvont;0
défense;65;défense;0
face;99;face;0
envies;4;envier;0
biologiques;9;biologique;0
âgé;17;âgé;0
peux;892;;0
contrôler;29;contrôler;0
voyez;299;voir;0
cellules;29;cellule;0
manque;107;manqu;0
collagène;6;collagène;0
indique;119;indique;0
ostéogenèse;4;ostéogenès;0
imparfaite;7;imparfaite;0
